 &plot nbnd=  20, nks=    11 /
            0.000000  0.000000  0.000000
   -6.651   -3.088   -2.948   -2.948   -2.871   -2.686   -2.182    2.664    2.741    2.741
    2.817    2.935    2.935    5.556    5.829    5.830    6.175    6.373    6.373    6.382
            0.000001  0.000001  0.048528
   -6.641   -3.288   -2.947   -2.946   -2.869   -2.472   -2.179    2.643    2.716    2.716
    2.787    2.944    2.944    5.345    5.780    5.781    6.234    6.425    6.426    6.466
            0.000003  0.000003  0.097055
   -6.612   -3.597   -2.941   -2.941   -2.862   -2.172   -2.123    2.583    2.647    2.647
    2.703    2.973    2.974    4.940    5.647    5.647    6.403    6.476    6.578    6.579
            0.000004  0.000004  0.145583
   -6.564   -3.908   -2.932   -2.932   -2.852   -2.160   -1.746    2.494    2.546    2.546
    2.583    3.022    3.022    4.489    5.457    5.457    6.468    6.667    6.819    6.819
            0.000005  0.000005  0.194110
   -6.496   -4.206   -2.921   -2.921   -2.839   -2.146   -1.353    2.389    2.429    2.429
    2.446    3.089    3.089    4.027    5.238    5.238    6.474    7.006    7.133    7.133
            0.000007  0.000007  0.242638
   -6.409   -4.491   -2.909   -2.909   -2.824   -2.129   -0.950    2.280    2.307    2.309
    2.309    3.175    3.175    3.562    5.006    5.007    6.498    7.390    7.405    7.506
            0.000008  0.000008  0.291166
   -6.304   -4.759   -2.896   -2.896   -2.808   -2.112   -0.537    2.176    2.180    2.197
    2.197    3.099    3.279    3.279    4.775    4.775    6.540    7.507    7.852    7.863
            0.000009  0.000009  0.339693
   -6.181   -5.009   -2.885   -2.885   -2.795   -2.097   -0.118    2.073    2.087    2.103
    2.103    2.641    3.399    3.399    4.550    4.550    6.599    7.458    7.982    8.340
            0.000010  0.000010  0.388221
   -6.041   -5.240   -2.875   -2.875   -2.783   -2.084    0.301    1.992    2.019    2.032
    2.032    2.193    3.532    3.532    4.340    4.340    6.669    7.338    8.197    8.861
            0.000012  0.000012  0.436748
   -5.893   -5.443   -2.869   -2.869   -2.776   -2.076    0.703    1.774    1.942    1.976
    1.987    1.987    3.667    3.667    4.158    4.158    6.737    7.231    8.427    8.840
            0.000013  0.000013  0.485276
   -5.795   -5.559   -2.867   -2.867   -2.773   -2.073    0.947    1.525    1.925    1.961
    1.972    1.972    3.745    3.745    4.065    4.065    6.769    7.185    8.593    8.724
